-1.3725084,-48.4429137,Av. Independência x Av. Augusto Montenegro
-1.4029529,-48.4532736,Av. Tavares Bastos x Av. Rodolfo Chermont - Sent.Av . João Paulo II
-1.4146755,-48.4388641,Av. Tavares Bastos  x Av . João Paulo II
-1.4146028,-48.4388401,Av. Tavares Bastos  x Av . João Paulo II - Sent.Av. Rodolfo Chermont
-1.4026373,-48.4533126,Av. Tavares Bastos x Av. Rodolfo Chermont
-1.387902,-48.4096466,Rod. Mário Covas x Av. Augusto Montenegro - Sent.Rod.BR-316
-1.3463861,-48.4521454,Rod. Mário Covas X Rod.BR-316
-1.3469156,-48.4522701,Rod. Mário Covas X Rod.BR-316 - Sent.Av.Augusto Montenegro
-1.3881514,-48.4097666,Rod. Mário Covas X Av.Augusto Montenegro
-1.4760531,-48.459548,R.Augusto Corrêa x Av. Bernado Sayão
-1.4616885,-48.4599472,R.Augusto Corrêa x Passagem Nova
-1.455530,-48.460828,Av. Conselheiro Furtado x Teófilo Conduru
-1.4627424,-48.4946328,Av. Conselheiro Furtado x Av. Conselheiro Furtado - Oposto
-1.431711,-48.451505,Av. Perimetral x Av. João Paulo II
-1.471394,-48.458648,Av. Perimetral x Rua. Augusto Corrêa
-1.471612,-48.458668,Av. Perimetral x Rua. Augusto Corrêa
-1.431796,-48.451348,Av. Perimetral x Av. João Paulo Segundo
-1.418240,-48.461908,Av. Marquês de Herval x  Av. Doutor Freitas
-1.439660,-48.476209,Av. Marquês de Herval x  Tv. Nove de Janeiro
-1.439735,-48.476046,Av. Marquês de Herval x  Tv. Nove de Janeiro
-1.418351,-48.461778,Av. Marquês de Herval x Av. Doutor Freitas
-1.407831,-48.465484,Av. Pedro Álvares Cabral x Av. Júlio César
-1.426203,-48.488902,Av. Pedro Álvares Cabral x Rod. Arthur Bernardes
-1.426328,-48.489019,Av. Pedro Álvares Cabral x Rod. Arthur Bernardes
-1.440809,-48.493416,Av. Pedro Álvares Cabral x Av. Visc. de Souza Franco
-1.440780,-48.493242,Av. Pedro Álvares Cabral x Av. Visc. de Souza Franco
-1.426453,-48.488952,Av. Pedro Álvares Cabral x Rod. Arthur Bernardes
-1.419035,-48.482985,Tv. Barão do Triunfo x Av. Pedro Álvares Cabral
-1.426739,-48.471387,Tv. Barão do Triunfo x Pedro Miranda
-1.426675,-48.471345,Tv. Barão do Triunfo x Pedro Miranda
-1.418926,-48.482933,Tv. Barão do Triunfo x Av. Pedro Álvares Cabral
-1.392194,-48.480659,Av. Júlio César x Av. Pará
-1.423457,-48.450244,Av. Júlio César x Av. Alm. Barroso
-1.423035,-48.450198,Av. Júlio César x Av. Alm. Barroso
-1.391950,-48.480191,Av. Júlio César x Av. Pará
-1.464468,-48.483502,Tv. Dr. Moraes x R. São Miguel
-1.458643,-48.487733,Tv. Dr. Moraes x R. dos Pariquis
-1.452117,-48.490915,Tv. Dr. Moraes x Av. Gov. José Malcher
-1.464512,-48.483617,Tv. Dr. Moraes x R. São Miguel
-1.473840,-48.499921,R. dos Mundurucus x Portal da Amazônia
-1.456863,-48.460649,R. dos Mundurucus x Teófilo Conduru
-1.449882,-48.467361,Av. Cipriano Santos x Av. Alm. Barroso
-1.449486,-48.448874,Av. Cipriano Santos x P. Santa Cruz
-1.449429,-48.448779,Av. Cipriano Santos x P. Santa Cruz
-1.448638,-48.457252,Av. Cipriano Santos x Av. Cipriano Sent. contrário
-1.447517,-48.459329,Av. Ceará x Tv. Segunda de Queluz
-1.448323,-48.466369,Av. Ceará x Av. Alm. Barroso
-1.439688,-48.492649,Tv. Alm. Wandenkolk x Av. Pedro Álvares Cabral
-1.450543,-48.484887,Tv. Alm. Wandenkolk x Av. Gov. José Malcher
-1.451183,-48.490632,R. Boaventura da Silva x P. Bolonha
-1.446551,-48.469171,R. Boaventura da Silva x Av. José Bonifácio
-1.447968,-48.498803,Av. Blvd. Castilhos França x Av. Mal. Hermes
-1.451937,-48.502960,Av. Blvd. Castilhos França x Av. Portugal
-1.451961,-48.502976,Av. Portugal x Av. Blvd. Castilhos França
-1.454059,-48.503198,Av. Portugal x R. Des. Ignácio Guilhon
-1.467553,-48.458321,R. Barão de Igarapé-Miri x R. Augusto Corrêa
-1.467424,-48.468649,R. Barão de Igarapé-Miri x Av. José Bonifácio
-1.467424,-48.468649,R. Barão de Igarapé-Miri x Av. José Bonifácio
-1.467553,-48.458321,R. Barão de Igarapé-Miri x R. Augusto Corrêa
-1.395142,-48.458069,Av. Santarém x R. da Marinha
-1.401457,-48.457639,Av. Santarém x R. da Mata
-1.401475,-48.457496,Av. Santarém x R. da Mata
-1.395130,-48.457925,Av. Santarém x R da Marinha
-1.399141,-48.457653,Av. Médici II x Av. Santarém
-1.399147,-48.459914,Av. Médici II x R. Outeiro
-1.399253,-48.459914,Av. Médici II x R. Outeiro
-1.399286,-48.457788,Av. Médici II x Av.Santarém
-1.447267,-48.487170,R. Domingos Marreiros x Av. Visc. de Souza Franco
-1.443766,-48.469254,R. Domingos Marreiros x Av. José Bonifácio
-1.439598,-48.472891,Av. Visc de Inhaúma x Tv. Antônio Baena
-1.431570,-48.466333,Av. Visc de Inhaúma x Vila Linhas Correntes
-1.431692,-48.466669,Av. Visc de Inhaúma x Tv. Mauriti
-1.438559,-48.472308,Av. Visc de Inhaúma x Tv. Curuzú
-1.443537,-48.459635,Tv. Humaitá x Av. João Paulo II
-1.431299,-48.477943,Tv. Humaitá x R. Antônio Everdosa
-1.423536,-48.481463,Tv. da Estrela x R. Canal do Galo
-1.439807,-48.457192,Tv. Estrela x Av. Av. João Paulo II
-1.434264,-48.479876,R. Antônio Everdosa x R. do Canal do Galo
-1.417131,-48.468570,R. Antônio Everdosa x Tv. São Sebastião
-1.417545,-48.469043,R. Antônio Everdosa x Tv. Alferes Costa
-1.434264,-48.479876,R. Antônio Everdosa x R. do Canal do Galo
-1.4545343,-48.4657678,Tv. Barão de Mamoré x Av. Gentil Bitencourt
-1.4647851,-48.4655291,Tv. Barão de Mamoré x  R. Silva Castro
